time,recall,ef,method
0.02391505241394043,0.999,100,hnsw
0.02285170555114746,0.9972,50,hnsw
0.011776447296142578,0.990,30,hnsw
0.009621236801147461,0.97,20,hnsw
0.007135868072509766,0.925,10,hnsw
0.02231311798095703,0.999,100,henn
0.01439809799194336,0.997,50,henn
0.010455846786499023,0.991,30,henn
0.009123014450073242,0.97,20,henn
0.005829811096191406,0.925,10,henn
0.007107734680175781,0.96,15,henn
0.008270263671875,0.96,15,hnsw
