ef,Time,Recall
10,3,0.468
30,9,0.74
50,15,0.842
70,20,0.898
90,27,0.932
110,30,0.952
130,36,0.972
150,41,0.981
170,48,0.983
190,51,0.985
210,58,0.987
230,61,0.989
250,65,0.99
270,70,0.993
290,74,0.995
10,3,0.474
30,9,0.705
50,15,0.82
70,20,0.88
90,29,0.921
110,31,0.947
130,37,0.955
150,43,0.965
170,50,0.97
190,54,0.976
210,59,0.978
230,63,0.982
250,68,0.984
270,72,0.986
290,79,0.988
10,4,0.438
30,10,0.746
50,15,0.855
70,21,0.921
90,26,0.953
110,31,0.963
130,38,0.975
150,42,0.979
170,47,0.98
190,53,0.986
210,57,0.991
230,62,0.993
250,67,0.993
270,72,0.995
290,75,0.995
10,3,0.465
30,9,0.726
50,14,0.841
70,20,0.9
90,27,0.941
110,32,0.962
130,37,0.977
150,42,0.987
170,48,0.988
190,51,0.992
210,57,0.995
230,62,0.996
250,65,0.996
270,71,0.996
290,75,0.997
10,3,0.471
30,9,0.737
50,14,0.847
70,20,0.912
90,25,0.941
110,32,0.958
130,36,0.97
150,44,0.978
170,47,0.983
190,52,0.989
210,56,0.991
230,61,0.993
250,65,0.994
270,68,0.996
290,74,0.997
10,3,0.466
30,9,0.745
50,16,0.856
70,20,0.913
90,28,0.942
110,31,0.961
130,36,0.965
150,43,0.973
170,47,0.984
190,53,0.984
210,58,0.985
230,62,0.989
250,65,0.993
270,71,0.995
290,76,0.995
10,4,0.433
30,10,0.715
50,16,0.822
70,20,0.879
90,27,0.93
110,33,0.946
130,38,0.963
150,42,0.97
170,48,0.98
190,54,0.981
210,57,0.986
230,63,0.988
250,65,0.99
270,71,0.993
290,75,0.994
10,3,0.463
30,10,0.743
50,16,0.862
70,21,0.903
90,27,0.944
110,32,0.966
130,37,0.98
150,44,0.988
170,48,0.992
190,53,0.995
210,60,0.995
230,62,0.996
250,66,0.996
270,71,0.997
290,76,0.997
10,3,0.45
30,9,0.706
50,15,0.827
70,20,0.895
90,27,0.927
110,31,0.949
130,36,0.961
150,42,0.967
170,47,0.977
190,53,0.983
210,57,0.986
230,61,0.987
250,67,0.987
270,70,0.99
290,76,0.993
10,4,0.47
30,9,0.745
50,15,0.852
70,20,0.911
90,27,0.939
110,31,0.958
130,37,0.968
150,43,0.976
170,48,0.981
190,52,0.989
210,59,0.991
230,62,0.992
250,65,0.992
270,71,0.994
290,75,0.996
