logn,dim,HENN_hop,HNSW_hop,HENN_dist,HNSW_dist
10,16,32,52,110,278
11,16,30,47,207,407
12,16,39,59,361,563
13,16,47,71,149,454
14,16,47,73,217,554
15,16,43,77,271,706
16,16,46,87,351,869
17,16,56,98,144,741
18,16,54,98,174,765
19,16,51,101,261,955
20,16,59,112,517,1128
