ef,Time,Recall
10,3,0.474
30,8,0.716
50,14,0.827
70,20,0.889
90,28,0.93
110,31,0.954
130,36,0.964
150,43,0.971
170,47,0.978
190,52,0.981
210,56,0.984
230,61,0.99
250,65,0.994
270,69,0.994
290,75,0.994
10,3,0.471
30,9,0.746
50,15,0.83
70,20,0.889
90,27,0.921
110,31,0.951
130,37,0.961
150,43,0.963
170,49,0.971
190,52,0.976
210,58,0.981
230,61,0.983
250,66,0.986
270,70,0.988
290,76,0.989
10,3,0.45
30,9,0.73
50,15,0.842
70,21,0.902
90,28,0.928
110,32,0.945
130,37,0.96
150,44,0.971
170,50,0.975
190,55,0.978
210,60,0.984
230,65,0.984
250,68,0.986
270,74,0.989
290,79,0.992
10,3,0.467
30,9,0.738
50,15,0.856
70,20,0.91
90,27,0.935
110,32,0.955
130,36,0.964
150,43,0.974
170,48,0.979
190,54,0.981
210,60,0.987
230,63,0.993
250,67,0.994
270,73,0.995
290,77,0.996
10,3,0.477
30,9,0.757
50,15,0.862
70,20,0.907
90,27,0.948
110,31,0.965
130,36,0.971
150,44,0.973
170,48,0.984
190,52,0.989
210,58,0.994
230,62,0.995
250,68,0.997
270,72,0.999
290,75,0.999
10,3,0.448
30,9,0.741
50,14,0.857
70,20,0.92
90,26,0.946
110,31,0.965
130,37,0.971
150,42,0.977
170,48,0.988
190,53,0.99
210,59,0.991
230,61,0.991
250,67,0.994
270,72,0.995
290,76,0.995
10,3,0.459
30,9,0.728
50,15,0.847
70,21,0.909
90,26,0.94
110,32,0.958
130,37,0.974
150,41,0.983
170,47,0.988
190,53,0.991
210,57,0.991
230,61,0.992
250,64,0.994
270,69,0.995
290,75,0.995
10,3,0.465
30,9,0.747
50,15,0.865
70,20,0.918
90,27,0.946
110,32,0.965
130,37,0.979
150,44,0.985
170,50,0.991
190,55,0.993
210,62,0.993
230,66,0.995
250,70,0.996
270,77,0.997
290,82,0.997
10,3,0.468
30,9,0.752
50,15,0.864
70,21,0.911
90,27,0.953
110,33,0.969
130,38,0.977
150,42,0.985
170,48,0.99
190,53,0.992
210,57,0.992
230,63,0.993
250,65,0.996
270,70,0.997
290,75,0.997
10,3,0.456
30,9,0.734
50,14,0.838
70,20,0.903
90,27,0.931
110,31,0.948
130,36,0.957
150,42,0.969
170,48,0.978
190,52,0.983
210,56,0.985
230,61,0.988
250,66,0.99
270,71,0.99
290,75,0.991
