ef,Time,Recall
10,2,0.185
30,7,0.334
50,12,0.439
70,17,0.529
90,21,0.59
110,25,0.642
130,30,0.681
150,35,0.719
170,40,0.751
190,44,0.774
210,47,0.796
230,52,0.812
250,55,0.832
270,59,0.848
290,65,0.859
10,2,0.263
30,8,0.445
50,13,0.542
70,17,0.624
90,21,0.676
110,27,0.709
130,30,0.756
150,37,0.781
170,42,0.814
190,47,0.837
210,49,0.854
230,53,0.877
250,57,0.889
270,61,0.899
290,65,0.904
10,2,0.194
30,8,0.359
50,13,0.469
70,17,0.538
90,22,0.596
110,26,0.648
130,31,0.693
150,36,0.727
170,40,0.759
190,46,0.788
210,49,0.81
230,54,0.822
250,57,0.838
270,62,0.85
290,67,0.865
10,2,0.147
30,8,0.331
50,13,0.432
70,18,0.505
90,22,0.554
110,26,0.601
130,30,0.637
150,37,0.677
170,42,0.71
190,46,0.733
210,51,0.763
230,54,0.783
250,60,0.796
270,63,0.814
290,68,0.821
10,2,0.253
30,7,0.407
50,12,0.483
70,16,0.552
90,21,0.605
110,24,0.641
130,29,0.684
150,35,0.714
170,39,0.74
190,45,0.768
210,49,0.78
230,51,0.79
250,56,0.802
270,60,0.818
290,67,0.829
10,3,0.201
30,9,0.346
50,14,0.446
70,18,0.511
90,23,0.569
110,28,0.619
130,33,0.651
150,38,0.682
170,43,0.711
190,48,0.741
210,52,0.766
230,56,0.782
250,60,0.8
270,63,0.811
290,70,0.822
10,3,0.221
30,8,0.38
50,13,0.499
70,18,0.565
90,23,0.617
110,27,0.653
130,31,0.684
150,37,0.711
170,41,0.746
190,46,0.758
210,50,0.767
230,54,0.782
250,57,0.798
270,62,0.816
290,66,0.833
10,3,0.21
30,8,0.383
50,13,0.513
70,18,0.594
90,23,0.655
110,27,0.706
130,31,0.739
150,37,0.765
170,43,0.789
190,46,0.812
210,50,0.831
230,53,0.852
250,60,0.87
270,62,0.877
290,68,0.888
10,3,0.218
30,8,0.357
50,13,0.427
70,18,0.471
90,23,0.508
110,27,0.545
130,31,0.579
150,37,0.599
170,42,0.622
190,47,0.647
210,49,0.664
230,55,0.676
250,59,0.687
270,63,0.697
290,69,0.708
10,2,0.159
30,8,0.312
50,13,0.427
70,18,0.491
90,23,0.545
110,27,0.59
130,32,0.651
150,37,0.697
170,43,0.723
190,46,0.754
210,50,0.779
230,53,0.795
250,59,0.806
270,63,0.819
290,69,0.831
