logn,dim,HENN_hop,HNSW_hop,HENN_dist,HNSW_dist
16,4,58,103,432,855
16,8,56,93,450,928
16,16,48,87,428,808
16,32,42,76,320,767 
16,64,49,76,430,675
16,128,48,76,358,747
