ef,Time,Recall
10,3,0.139
30,7,0.316
50,13,0.416
70,17,0.481
90,22,0.554
110,25,0.61
130,30,0.643
150,34,0.674
170,37,0.71
190,43,0.732
210,47,0.761
230,50,0.781
250,52,0.794
270,58,0.812
290,62,0.828
10,3,0.151
30,8,0.362
50,13,0.508
70,18,0.591
90,20,0.668
110,26,0.72
130,29,0.763
150,35,0.794
170,37,0.819
190,43,0.835
210,50,0.85
230,51,0.862
250,55,0.873
270,61,0.886
290,66,0.895
10,3,0.173
30,7,0.339
50,12,0.439
70,17,0.521
90,22,0.591
110,25,0.653
130,28,0.691
150,33,0.717
170,38,0.743
190,44,0.776
210,48,0.801
230,52,0.821
250,54,0.842
270,60,0.86
290,63,0.871
10,4,0.13
30,8,0.286
50,13,0.4
70,18,0.494
90,23,0.545
110,27,0.59
130,32,0.627
150,36,0.658
170,40,0.676
190,45,0.699
210,51,0.719
230,54,0.738
250,55,0.751
270,63,0.765
290,68,0.772
10,3,0.204
30,8,0.364
50,13,0.471
70,17,0.552
90,22,0.615
110,26,0.664
130,31,0.704
150,36,0.731
170,40,0.755
190,43,0.776
210,50,0.793
230,52,0.817
250,57,0.824
270,61,0.844
290,66,0.85
10,4,0.132
30,8,0.276
50,13,0.366
70,18,0.419
90,23,0.467
110,28,0.505
130,31,0.537
150,37,0.569
170,40,0.601
190,46,0.627
210,51,0.645
230,52,0.666
250,59,0.672
270,62,0.685
290,70,0.698
10,3,0.171
30,8,0.355
50,13,0.468
70,18,0.542
90,23,0.62
110,27,0.67
130,31,0.731
150,37,0.769
170,42,0.803
190,45,0.823
210,49,0.839
230,55,0.86
250,59,0.877
270,64,0.891
290,69,0.899
10,4,0.18
30,8,0.347
50,13,0.446
70,18,0.517
90,23,0.57
110,27,0.603
130,31,0.636
150,36,0.674
170,42,0.696
190,45,0.714
210,51,0.729
230,55,0.753
250,59,0.77
270,64,0.782
290,69,0.793
10,3,0.137
30,8,0.263
50,13,0.359
70,17,0.435
90,22,0.495
110,26,0.551
130,31,0.603
150,35,0.65
170,40,0.677
190,44,0.708
210,47,0.734
230,51,0.76
250,56,0.776
270,60,0.796
290,66,0.814
10,3,0.173
30,8,0.333
50,13,0.434
70,18,0.49
90,23,0.539
110,27,0.581
130,31,0.627
150,37,0.66
170,40,0.681
190,46,0.699
210,50,0.716
230,53,0.726
250,59,0.744
270,63,0.759
290,66,0.769
