logn,dim,HENN,HNSW
10,32,0.0000025,0.0000034
11,32,0.0000029,0.0000033
12,32,0.0000027,0.0000034
13,32,0.0000028,0.0000036
14,32,0.0000033,0.0000036
15,32,0.0000036,0.0000045
16,32,0.0000039,0.0000054
17,32,0.0000067,0.0000093
18,32,0.0000082,0.0000120
19,32,0.0000112,0.0000131
20,32,0.0000135,0.0000186
